run_id,phase,protocol,status,pid,config_sha256,source_sha256,output_path,started_at,completed_at,evidence_eligible,notes
20260831_lockbox_precision_design_v1,phase_2_supplementary,lockbox_precision_design_v1,complete,,39a807fa3b1a753b3095b2a956b59e9db3cd31d843ad4b5483b4efa0472ba0dc,2756688b3da2b7c29aebd84f88f749cd0d45f02d70c74fba4e4f146161e96cc2,runs/20260831_lockbox_precision_design_v1/artifact,2026-09-01T08:52:28+08:00,2026-09-01T08:52:44+08:00,true,"Validated pre-freeze precision planning: 300 discovery images, 5 H1-H4 estimands, and 5,000 stratified image-cluster bootstrap replicates; 31/31 corrected terminal checks and recursive inventory passed; no lockbox outcome access, post-hoc power, MDE, or precision-guarantee claim"
20260831_spillover_pilot30_v1,phase_2_gated_extension,read_only_native_o2o_assignment_spillover_v2,complete,,e0a01c0bb3faa2a61c44e3bcb77207c0744c3045ddcf50f8e5592d4a58f126da,ef157da9cf6e97312242070cca896a94ae512c346c2228d08e66c682989fc936,runs/20260831_spillover_pilot30_v1/artifact,2026-09-01T03:58:38+08:00,2026-09-01T04:41:17+08:00,false,"Gated pilot complete: both primary strata populated; 1/711,453 nonfocal pair events, confined to shared-claim stratum; prespecified gate PASS to full 300-image discovery"
20260831_lockbox_chain_selftests_pre_freeze_v3,phase_1,lockbox_chain_pre_freeze_selftests_v3,complete,,,,results/measurement_validation_20260831/lockbox_chain_selftests_pre_freeze_v3,2026-08-31T23:07:23+08:00,2026-08-31T23:11:37+08:00,false,"Implementation qualification only: freeze builder 5/5, selector 7/7, sealed validator 6/6, confirmatory analyzer 19/19 PASS; manifest SHA-256 4db3a52130a47bd1c4fd7f8d332c1a4cf6efaca294f03de73c241974a21fcf09"
20260901_lockbox_chain_selftests_pre_freeze_current,phase_3_pre_freeze,lockbox_chain_pre_freeze_selftests_current,complete,,,,results/measurement_validation_20260831/lockbox_chain_selftests_pre_freeze_current,2026-09-01T09:29:20+08:00,2026-09-01T09:30:00+08:00,false,"Rebuilt current hash-bound qualification after path and bytecode fixes: freeze builder 9/9, selector 9/9, sealed validator 6/6, confirmatory analyzer 26/26, output inventory 3/3, boundary geometry 8/8; total 61/61 PASS; manifest SHA-256 b80926695d32620f499baf0d576f88eea5298286d388fc20f8455b270d1b6244; prior bundles archived"
20260901_spillover_formal300_v1,phase_2_gated_extension,read_only_native_o2o_assignment_spillover_v2,complete,,a729c1f28b3b760c53c48b35e5d3e6aed9408851ebc6f8754de01e0e90334961,ef157da9cf6e97312242070cca896a94ae512c346c2228d08e66c682989fc936,runs/20260901_spillover_formal300_v1/artifact,2026-09-01T04:46:33+08:00,2026-09-01T08:03:51+08:00,true,"Validated gated discovery output: 300 images, 29,612 focal-direction events, 3,549,250 nonfocal pairs, 5,000 image-cluster bootstrap replicates; 52 observed identity changes all in shared-native-claim pairs and 0 observed in nonsharing pairs. Terminal semantic replay and recursive inventory passed; data-YAML hash is contemporaneous provenance, not a prebound CONFIG field; no causal, equivalence, or confirmatory claim."
20260901_final_static_qualification_v1,phase_3_pre_freeze,final_pre_freeze_static_qualification_v1,invalidated,,,,results/measurement_validation_20260901/final_static_qualification_v1,2026-09-01T09:03:30+08:00,2026-09-01T09:04:02+08:00,false,"Invalidated after a freeze-builder self-test subcheck was observed false while its overall status still reported PASS; superseded by fail-closed v2; no lockbox selection or outcome access"
20260901_instrument_freeze_v1_attempt1,phase_3_instrument_freeze,audit_instrument_v1_finalize,failed,,aec2b184263c1f77e8d3e1b63718971de1b27f67,d83a27f07f3f7629f35fbc7eca349b5cd0630225b1374970f0850622c2e4a5cf,instrument_freeze/audit_instrument_v1.0,2026-09-01T09:07:00+08:00,2026-09-01T09:10:00+08:00,false,"Failed pre-selection finalize: frozen script resolved discovery exclusion through ROOT/results rather than staged frozen_inputs; retained with FAILED_FINALIZATION.json; no TOOL_FREEZE_MANIFEST, lockbox selection, or outcome access"
20260901_final_static_qualification_v2,phase_3_pre_freeze,final_pre_freeze_static_qualification_v2,invalidated,,,,results/measurement_validation_20260901/final_static_qualification_v2,2026-09-01T09:14:20+08:00,2026-09-01T09:15:00+08:00,false,"Invalidated after finalize-generated bytecode caches exposed a missing no-bytecode invariant; superseded by fail-closed v3; no lockbox selection or outcome access"
20260901_instrument_freeze_v1_attempt2,phase_3_instrument_freeze,audit_instrument_v1_seal,failed,,7fae78debd9fa905f1144f1e1316055b4374c06e,7d90ccefaa5d1dea0467d9af774152a2fa95d59296114b262ee012d127ecdac1,instrument_freeze/audit_instrument_v1.0_v2,2026-09-01T09:20:00+08:00,2026-09-01T09:25:00+08:00,false,"Failed pre-selection seal: finalize-generated bytecode caches entered frozen inventory and cache removal made inventory stale; retained with FAILED_SEAL.json; no lockbox selection or outcome access"
20260901_final_static_qualification_v3,phase_3_pre_freeze,final_pre_freeze_static_qualification_v3,complete,,,,results/measurement_validation_20260901/final_static_qualification_v3,2026-09-01T09:29:20+08:00,2026-09-01T09:30:00+08:00,false,"Post-bytecode-fix qualification: freeze builder 9/9 including isolated exclusion path and bytecode-disable regressions, selector 9/9, sealed validator 6/6, confirmatory analyzer 26/26, inventory 3/3, boundary geometry 8/8; total 61/61 PASS; recursive inventory 00d084a3d15e6c919b38cf4465e706bbbe558cad81825c2036295b8193ccebdf; no lockbox selection or outcome access"
